,Address.AddressLine1,Address.AddressLine2,Address.City,Address.County,Address.FormattedAddress,Address.PostalCode,Address.Subdivision,ID,Name,Store.StoreDistrictID,Store.StoreGroupID,Store.StoreRegionID,Store.AnnualSales,Store.OperatingExpenses,Store.CostOfGoodsSold,AllCapability,Latitude,Longitude
410,2755 Canyon Springs Pkwy,,Riverside,Riverside,"2755 Canyon Springs Pkwy, Riverside, CA 92507-0932",92507-0932,CA,1843,Riverside SE,232,292,200,8066364,2035241,2867394,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.97,-117.33
411,15272 Summit Ave,,Fontana,San Bernardino,"15272 Summit Ave, Fontana, CA 92336-0231",92336-0231,CA,1958,Fontana North,248,292,200,6832206,1718783,2267718,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Clinic care by Kaiser Permanente', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.15,-117.46
412,30340 Haun Rd,,Menifee,Riverside,"30340 Haun Rd, Menifee, CA 92584-6806",92584-6806,CA,2471,Menifee,205,292,200,7074012,1614463,2687318,"['Accepts WIC', 'Bakery', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine, Beer, & Spirits Available']",33.66,-117.18
413,16964 Slover Ave,,Fontana,San Bernardino,"16964 Slover Ave, Fontana, CA 92337-7556",92337-7556,CA,660,Fontana,248,292,200,6444627,1331667,2974106,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.05,-117.47
414,3333 Arlington Ave,,Riverside,Riverside,"3333 Arlington Ave, Riverside, CA 92506-3252",92506-3252,CA,291,Riverside Arlington,232,292,200,6824743,1940102,3063271,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.93,-117.36
415,27818 Clinton Keith Rd,,Murrieta,Riverside,"27818 Clinton Keith Rd, Murrieta, CA 92562-8554",92562-8554,CA,2499,Murrieta North,205,292,200,5634137,1650871,3220501,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine, Beer, & Spirits Available']",33.5,-117.3
416,2424 Highway 6 and 50 Ste C,,Grand Junction,Mesa,"2424 Highway 6 and 50 Ste C, Grand Junction, CO 81505-1103",81505-1103,CO,93,Grand Junction,179,197,100,7984786,1123848,2659106,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks']",39.2,-108.5
417,3530 Wolverine Dr,,Montrose,Montrose,"3530 Wolverine Dr, Montrose, CO 81401-4952",81401-4952,CO,2343,Montrose,179,197,100,5289996,2017203,3078003,"['CVS pharmacy', 'CafÈ', 'Starbucks']",38.5,-107.8
418,175 W Center St,,Orem,Utah,"175 W Center St, Orem, UT 84057-4607",84057-4607,UT,1754,Orem State Street,178,197,100,5932308,1776025,3759639,"['Accepts WIC', 'Bakery', 'Beer Available', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target']",40.31,-111.73
419,608 W Main St,,American Fork,Utah,"608 W Main St, American Fork, UT 84003-9762",84003-9762,UT,1814,American Fork,178,197,100,8732285,2014431,2176485,"['CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",40.4,-111.79
420,29676 Rancho California Rd,,Temecula,Riverside,"29676 Rancho California Rd, Temecula, CA 92591-5283",92591-5283,CA,359,Rancho California,205,292,200,6314551,1655075,2005180,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Wine, Beer, & Spirits Available']",33.53,-117.1
421,41040 California Oaks Rd,,Murrieta,Riverside,"41040 California Oaks Rd, Murrieta, CA 92562-5749",92562-5749,CA,1283,Murrieta,205,292,200,6439527,1662570,2605862,"['Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Mobile Kiosk', 'Wine, Beer, & Spirits Available']",33.5,-117.3
422,3520 Tyler St,,Riverside,Riverside,"3520 Tyler St, Riverside, CA 92503-4175",92503-4175,CA,212,Riverside,232,292,200,7922099,1509595,2912547,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine, Beer, & Spirits Available']",33.9,-117.45
423,10576 Foothill Blvd,,Rancho Cucamonga,San Bernardino,"10576 Foothill Blvd, Rancho Cucamonga, CA 91730-3890",91730-3890,CA,301,Rancho Cucamonga,206,292,200,7899520,2085004,2318112,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.1,-117.58
424,4200 E 4th St,,Ontario,San Bernardino,"4200 E 4th St, Ontario, CA 91764-5250",91764-5250,CA,2245,Ontario,206,292,200,6758969,2019412,3699041,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",34.08,-117.59
425,18287 Collier Ave,,Lake Elsinore,Riverside,"18287 Collier Ave, Lake Elsinore, CA 92530-2755",92530-2755,CA,2195,Lake Elsinore,232,292,200,5632303,1040789,3873514,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.6,-117.4
426,12471 Limonite Ave,,Mira Loma,Riverside,"12471 Limonite Ave, Mira Loma, CA 91752-2457",91752-2457,CA,1961,Eastvale,232,292,200,8511432,1883841,3838400,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.99,-117.53
427,1931 Campus Ave,,Upland,San Bernardino,"1931 Campus Ave, Upland, CA 91784-1667",91784-1667,CA,1834,Upland,206,292,200,8226203,2075294,2177385,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.17,-117.65
428,2615 Tuscanny St,,Corona,Riverside,"2615 Tuscanny St, Corona, CA 92881-4631",92881-4631,CA,1548,Corona,232,292,200,5579240,2125859,3398381,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Wine, Beer, & Spirits Available']",33.83,-117.51
429,1290 Hamner Ave,,Norco,Riverside,"1290 Hamner Ave, Norco, CA 92860-3117",92860-3117,CA,736,Norco,232,292,200,7589714,2184228,3886212,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.93,-117.55
430,9052 Central Ave,,Montclair,San Bernardino,"9052 Central Ave, Montclair, CA 91763-1621",91763-1621,CA,1423,Montclair,206,292,200,8735984,1760515,2404446,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.07,-117.7
431,5555 Philadelphia St,,Chino,San Bernardino,"5555 Philadelphia St, Chino, CA 91710-2481",91710-2481,CA,258,Chino,206,292,200,5278147,1051316,3472308,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.01,-117.7
432,2462 Foothill Blvd,,La Verne,Los Angeles,"2462 Foothill Blvd, La Verne, CA 91750-3056",91750-3056,CA,226,Laverne,206,292,200,8220697,1700602,3571212,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.15,-117.73
433,3944 Grand Ave,,Chino,San Bernardino,"3944 Grand Ave, Chino, CA 91710-5422",91710-5422,CA,912,Chino Hills,206,292,200,5306000,1255657,2436620,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.01,-117.7
434,701 Rio Rancho Road,,Pomona,Los Angeles,"701 Rio Rancho Road, Pomona, CA 91766",91766,CA,2831,Pomona,206,292,200,5379441,2230401,1431047,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",34.05,-117.72
435,1280 Auto Park Way,,Escondido,San Diego,"1280 Auto Park Way, Escondido, CA 92029-2231",92029-2231,CA,274,Escondido,231,296,200,5541332,2069392,2731830,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.08,-117.15
436,280 E Via Rancho Pkwy,,Escondido,San Diego,"280 E Via Rancho Pkwy, Escondido, CA 92025-8005",92025-8005,CA,2802,Escondido South,231,296,200,5631622,1583516,3573040,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.09,-117.06
437,888 W Arrow Hwy,,San Dimas,Los Angeles,"888 W Arrow Hwy, San Dimas, CA 91773-2495",91773-2495,CA,767,San Dimas,206,292,200,6974057,1123641,3883333,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.12,-117.81
438,1751 University Dr,,Vista,San Diego,"1751 University Dr, Vista, CA 92083-7775",92083-7775,CA,1040,Vista,261,296,200,8874672,2055804,3477878,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Clinic care by Kaiser Permanente', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.2,-117.25
439,30602 Santa Margarita Pkwy,,Rancho Santa Margarita,Orange,"30602 Santa Margarita Pkwy, Rancho Santa Margarita, CA 92688-2814",92688-2814,CA,914,Rancho Santa Margarita,261,296,200,8356018,2070821,3816303,"['Accepts WIC', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Which Wich Superior Sandwiches', 'Wine, Beer, & Spirits Available']",33.63,-117.61
440,443 College Blvd,,Oceanside,San Diego,"443 College Blvd, Oceanside, CA 92057-5435",92057-5435,CA,2871,Oceanside East,261,296,200,5475897,1405029,3162849,"['CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.25,-117.29
441,8148 E Santa Ana Canyon Rd,,Anaheim,Orange,"8148 E Santa Ana Canyon Rd, Anaheim, CA 92808-1105",92808-1105,CA,677,Anaheim Hills,244,292,200,7578985,1424356,2299304,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Which Wich Superior Sandwiches', 'Wine, Beer, & Spirits Available']",33.85,-117.73
442,747 Grand Ave,,Diamond Bar,Los Angeles,"747 Grand Ave, Diamond Bar, CA 91765-8400",91765-8400,CA,2179,Diamond Bar,217,292,200,6674623,2166583,2957364,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.99,-117.82
443,14823 Pomerado Rd,,Poway,San Diego,"14823 Pomerado Rd, Poway, CA 92064-2803",92064-2803,CA,296,Poway,231,296,200,6352949,1257272,3836397,"['Accepts WIC', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.0,-117.01
444,38019 47Th St E,,Palmdale,Los Angeles,"38019 47Th St E, Palmdale, CA 93552-3103",93552-3103,CA,2350,Palmdale East,219,294,200,5552375,1551805,3793490,"['Accepts WIC', 'Bakery', 'CVS pharmacy', 'Cafe-Pizza', 'Deli', 'Fresh Grocery', 'Optical', 'Photo Lab', 'Starbucks', 'Super Target', 'Wine, Beer, & Spirits Available']",34.5,-118.0
445,3150 Business Park Dr,,Vista,San Diego,"3150 Business Park Dr, Vista, CA 92081-8520",92081-8520,CA,2165,Vista South,261,296,200,5181448,2413942,2451579,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.16,-117.25
446,26762 Portola Pkwy,,Foothill Ranch,Orange,"26762 Portola Pkwy, Foothill Ranch, CA 92610-1712",92610-1712,CA,913,Foothill Ranch,261,296,200,7123775,1614779,3163632,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.69,-117.66
447,809 N Azusa Ave,,Azusa,Los Angeles,"809 N Azusa Ave, Azusa, CA 91702-2510",91702-2510,CA,2627,Azusa,263,292,200,5157303,1796459,2462987,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.2,-117.8
448,17170 Camino Del Sur,,San Diego,San Diego,"17170 Camino Del Sur, San Diego, CA 92127-4166",92127-4166,CA,2855,San Diego Del Sur,231,296,200,6419245,2487714,3151028,"['CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.02,-117.14
449,2831 E Eastland Ctr Dr,,West Covina,Los Angeles,"2831 E Eastland Ctr Dr, West Covina, CA 91791-1624",91791-1624,CA,1028,West Covina,217,292,200,6658825,1550706,2037851,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Pizza Hut Salads and Snacks', 'Starbucks', 'Wine & Beer Available']",34.06,-117.89
450,2255 S El Camino Real,,Oceanside,San Diego,"2255 S El Camino Real, Oceanside, CA 92054-6318",92054-6318,CA,303,Oceanside,261,296,200,6681624,1328291,2682884,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.2,-117.37
451,9846 Mission Gorge Rd,,Santee,San Diego,"9846 Mission Gorge Rd, Santee, CA 92071-3834",92071-3834,CA,1485,Santee,231,296,200,6690904,1992416,3004928,"['Accepts WIC', 'CVS pharmacy', 'Clinic care by Kaiser Permanente', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",32.86,-116.99
452,25601 Jeronimo Rd,,Mission Viejo,Orange,"25601 Jeronimo Rd, Mission Viejo, CA 92691-2794",92691-2794,CA,2163,Mission Viejo N,261,296,200,7775025,1181506,3946055,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.61,-117.67
453,2370 S Azusa Ave,,West Covina,Los Angeles,"2370 S Azusa Ave, West Covina, CA 91792-1511",91792-1511,CA,2147,West Covina South,217,292,200,7772428,1756474,2131943,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.02,-117.9
454,250 Broadway,,El Cajon,San Diego,"250 Broadway, El Cajon, CA 92021-4539",92021-4539,CA,304,El Cajon,231,296,200,6279464,1333341,3897634,"['Accepts WIC', 'CVS pharmacy', 'Fresh Grocery', 'Starbucks', 'Wine & Beer Available']",32.84,-116.88
455,24500 Alicia Pkwy,,Mission Viejo,Orange,"24500 Alicia Pkwy, Mission Viejo, CA 92691-4508",92691-4508,CA,300,Mission Viejo,261,296,200,6981315,1552021,3493259,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.61,-117.67
456,43525 10th St W,,Lancaster,Los Angeles,"43525 10th St W, Lancaster, CA 93534-6091",93534-6091,CA,245,Lancaster,219,294,200,7273470,2041204,2583563,"['Accepts WIC', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine & Beer Available']",34.7,-118.2
457,1050 Huntington Dr,,Duarte,Los Angeles,"1050 Huntington Dr, Duarte, CA 91010-2475",91010-2475,CA,302,Duarte,263,292,200,7621311,1443196,2548918,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",34.15,-117.96
458,17751 Colima Rd,,Rowland Heights,Los Angeles,"17751 Colima Rd, Rowland Heights, CA 91748-1714",91748-1714,CA,222,Puente Hills,217,292,200,5698779,1123129,3728244,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.98,-117.9
459,2191 N Tustin St,,Orange,Orange,"2191 N Tustin St, Orange, CA 92865-3701",92865-3701,CA,230,Orange,244,292,200,7913544,1366124,2478441,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.83,-117.85
460,855 E Birch St,,Brea,Orange,"855 E Birch St, Brea, CA 92821-5769",92821-5769,CA,2482,Brea,244,292,200,7336534,1178979,3439959,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.93,-117.89
461,1010 N El Camino Real,,Encinitas,San Diego,"1010 N El Camino Real, Encinitas, CA 92024-1320",92024-1320,CA,1029,Encinitas,231,296,200,5080185,2471197,1754179,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.05,-117.25
462,990 Avenida Vista Hermosa,,San Clemente,Orange,"990 Avenida Vista Hermosa, San Clemente, CA 92673-6360",92673-6360,CA,2730,San Clemente,261,296,200,5356667,2226414,3010691,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",33.46,-117.62
463,13200 Jamboree Rd,,Irvine,Orange,"13200 Jamboree Rd, Irvine, CA 92602-2307",92602-2307,CA,1238,Irvine North,202,296,200,8791915,1694413,2561080,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Clinic care by Kaiser Permanente', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.74,-117.76
464,2920 Yorba Linda Blvd,,Fullerton,Orange,"2920 Yorba Linda Blvd, Fullerton, CA 92831-1523",92831-1523,CA,293,Fullerton,244,292,200,5061199,2052789,2298624,"['Accepts WIC', 'Beauty Concierge', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.88,-117.89
465,39440 10th St W,,Palmdale,Los Angeles,"39440 10th St W, Palmdale, CA 93551-3747",93551-3747,CA,685,Palmdale,219,294,200,6467866,1574451,3117354,"['Accepts WIC', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine, Beer, & Spirits Available']",34.6,-118.2
466,900 Spectrum Center Dr,,Irvine,Orange,"900 Spectrum Center Dr, Irvine, CA 92618-4958",92618-4958,CA,2128,Irvine Spectrum,202,296,200,6299202,1943595,2235855,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.67,-117.74
467,2620 E Chapman Ave,,Orange,Orange,"2620 E Chapman Ave, Orange, CA 92869-3205",92869-3205,CA,3258,East Orange,222,296,200,6300937,2199743,3052524,"['CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.81,-117.77
468,3100 Baldwin Park Blvd,,Baldwin Park,Los Angeles,"3100 Baldwin Park Blvd, Baldwin Park, CA 91706-4703",91706-4703,CA,1033,Baldwin Park,263,292,200,6219976,1245000,2152130,"['Accepts WIC', 'Beauty Concierge', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine, Beer, & Spirits Available']",34.09,-117.97
469,26932 La Paz Rd,,Aliso Viejo,Orange,"26932 La Paz Rd, Aliso Viejo, CA 92656-3038",92656-3038,CA,259,Aliso Viejo,261,296,200,8562855,1163902,3922355,"['Beauty Concierge', 'CVS pharmacy', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.56,-117.73
470,2911 Jamacha Rd,,El Cajon,San Diego,"2911 Jamacha Rd, El Cajon, CA 92019-4342",92019-4342,CA,1140,Rancho San Diego,201,296,200,6255114,1114132,2453098,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",32.78,-116.87
471,8251 Mira Mesa Blvd,,San Diego,San Diego,"8251 Mira Mesa Blvd, San Diego, CA 92126-2603",92126-2603,CA,305,Mira Mesa,231,296,200,5808395,2364073,2943374,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",32.91,-117.14
472,5500 Grossmont Ctr Dr,Ste 1,La Mesa,San Diego,"5500 Grossmont Ctr Dr, La Mesa, CA 91942-3015",91942-3015,CA,997,Grossmont,201,296,200,7470313,1842329,3645010,"['Accepts WIC', 'Beauty Concierge', 'Cafe-Pizza', 'Fresh Grocery', 'In-Store Apple Store', 'Mobile Kiosk', 'Photo Lab', 'Wine & Beer Available']",32.78,-117.02
473,1330 E 17th St,,Santa Ana,Orange,"1330 E 17th St, Santa Ana, CA 92705-8500",92705-8500,CA,286,Santa Ana,222,296,200,7035546,2050159,2619365,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks']",33.74,-117.81
474,3750 Barranca Pkwy,,Irvine,Orange,"3750 Barranca Pkwy, Irvine, CA 92606-8200",92606-8200,CA,336,Irvine,202,296,200,5558171,1427182,2012705,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.7,-117.82
475,2300 Park Ave,,Tustin,Orange,"2300 Park Ave, Tustin, CA 92782-2702",92782-2702,CA,2151,Tustin,202,296,200,5133001,1438366,3341570,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Sun Boutique', 'Which Wich Superior Sandwiches', 'Wine, Beer, & Spirits Available']",33.73,-117.8
476,1000 W Imperial Hwy,,La Habra,Orange,"1000 W Imperial Hwy, La Habra, CA 90631-6901",90631-6901,CA,2397,La Habra,244,292,200,5306980,1945167,2753559,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Cafe-Pizza', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Starbucks', 'Wine & Beer Available']",33.94,-117.95
477,200 W Orangethorpe Ave,,Fullerton,Orange,"200 W Orangethorpe Ave, Fullerton, CA 92832-2900",92832-2900,CA,1418,Fullerton South,244,292,200,6283651,1992545,3236565,"['Accepts WIC', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.87,-117.93
478,1441 W 17th St,,Santa Ana,Orange,"1441 W 17th St, Santa Ana, CA 92706-3301",92706-3301,CA,1936,Santa Ana NW,222,296,200,7467389,1558422,2378635,"['Beauty Concierge', 'Cafe-Pizza', 'Mobile Kiosk', 'Starbucks', 'Wine & Beer Available']",33.77,-117.88
479,1893 W Malvern Ave,,Fullerton,Orange,"1893 W Malvern Ave, Fullerton, CA 92833-2403",92833-2403,CA,1383,West Fullerton,244,292,200,6445741,1864259,3185359,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'CafÈ', 'Clinic care by Kaiser Permanente', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Starbucks', 'Wine, Beer, & Spirits Available']",33.88,-117.96
480,3121 E Colorado Blvd,,Pasadena,Los Angeles,"3121 E Colorado Blvd, Pasadena, CA 91107-3814",91107-3814,CA,1332,Pasadena East,236,294,200,8109916,1092932,2609285,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'Fresh Grocery', 'Mobile Kiosk', 'Optical', 'Photo Lab', 'Starbucks', 'Which Wich Superior Sandwiches', 'Wine, Beer, & Spirits Available']",34.2,-118.0
481,12100 Harbor Blvd,,Garden Grove,Orange,"12100 Harbor Blvd, Garden Grove, CA 92840-4004",92840-4004,CA,192,Garden Grove Harbor,222,296,200,8123099,1644400,2908977,"['Accepts WIC', 'Beauty Concierge', 'CVS pharmacy', 'CafÈ', 'Fresh Grocery', 'Mobile Kiosk', 'Photo Lab', 'Wine & Beer Available']",33.79,-117.93
